City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Dikson,RU,2021-03-16 23:14:38,73.5069,80.5464,-28.35,-28.35,-28.35,Clouds,broken clouds,99,61,3.94
1,Cape Town,ZA,2021-03-16 23:13:29,-33.9258,18.4232,63.18,62.6,64.0,Clear,clear sky,77,0,14.97
2,Molfetta,IT,2021-03-16 23:14:38,41.2002,16.5975,48.09,46.4,50.0,Clouds,scattered clouds,66,40,6.91
3,Kodiak,US,2021-03-16 23:14:38,57.79,-152.4072,35.6,35.6,35.6,Clear,clear sky,44,1,10.36
4,Kutum,SD,2021-03-16 23:14:39,14.2,24.6667,71.31,71.31,71.31,Clear,clear sky,11,0,7.76
5,Oga,IT,2021-03-16 23:14:39,46.4631,10.347,26.15,19.4,34.0,Snow,light snow,93,75,1.14
6,Carlyle,US,2021-03-16 23:14:39,38.6103,-89.3726,52.54,51.8,54.0,Haze,haze,82,1,3.67
7,Busselton,AU,2021-03-16 23:14:40,-33.65,115.3333,65.73,65.73,65.73,Clear,clear sky,58,0,2.1
8,Codrington,AU,2021-03-16 23:14:40,-38.2667,141.9667,66.56,66.56,66.56,Clear,clear sky,67,0,8.37
9,Ushuaia,AR,2021-03-16 23:11:26,-54.8,-68.3,44.6,44.6,44.6,Clouds,broken clouds,65,75,23.02
10,Cayenne,GF,2021-03-16 23:14:41,4.9333,-52.3333,78.73,77.0,80.01,Clouds,scattered clouds,83,31,2.3
11,Rikitea,PF,2021-03-16 23:14:21,-23.1203,-134.9692,80.49,80.49,80.49,Clouds,broken clouds,74,68,8.61
12,Victoria,HK,2021-03-16 23:13:08,22.2855,114.1577,70.16,64.0,73.0,Clear,clear sky,89,5,6.96
13,Mataura,NZ,2021-03-16 23:14:41,-46.1927,168.8643,55.99,55.99,55.99,Clouds,overcast clouds,71,100,15.99
14,Sobolevo,RU,2021-03-16 23:14:42,54.4299,31.8996,31.68,31.68,31.68,Snow,light snow,96,100,5.66
15,Airai,TL,2021-03-16 23:14:42,-8.9266,125.4092,64.15,64.15,64.15,Clouds,scattered clouds,81,47,1.23
16,Albany,US,2021-03-16 23:14:23,42.6001,-73.9662,31.3,30.0,32.0,Clouds,overcast clouds,29,99,1.01
17,Saskylakh,RU,2021-03-16 23:14:42,71.9167,114.0833,-42.07,-42.07,-42.07,Clouds,overcast clouds,95,88,8.57
18,Luderitz,NA,2021-03-16 23:14:43,-26.6481,15.1594,62.78,62.78,62.78,Clear,clear sky,84,0,11.45
19,Merauke,ID,2021-03-16 23:14:43,-8.4667,140.3333,82.45,82.45,82.45,Clouds,overcast clouds,78,100,5.12
20,Lerwick,GB,2021-03-16 23:14:43,60.1545,-1.1494,46.4,46.4,46.4,Clouds,scattered clouds,81,40,19.57
21,Hithadhoo,MV,2021-03-16 23:14:44,-0.6,73.0833,81.99,81.99,81.99,Clouds,broken clouds,70,73,5.64
22,Barrow,US,2021-03-16 23:14:44,71.2906,-156.7887,-0.4,-0.4,-0.4,Snow,snow,71,90,20.71
23,Avarua,CK,2021-03-16 23:14:44,-21.2078,-159.775,84.2,84.2,84.2,Clouds,scattered clouds,74,40,9.22
24,Faanui,PF,2021-03-16 23:14:45,-16.4833,-151.75,82.6,82.6,82.6,Clouds,few clouds,72,19,10.69
