City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Sambava,MG,2020-08-28 14:15:16,-14.27,50.17,75.6,68,7,15.28
70,Cubatao,BR,2020-08-28 14:15:16,-23.89,-46.43,77.0,64,0,2.24
71,Looc,PH,2020-08-28 14:15:16,12.26,121.99,83.64,77,100,11.07
72,Dibulla,CO,2020-08-28 14:15:16,11.27,-73.31,85.33,69,0,13.49
73,Fortuna,US,2020-08-28 14:15:16,40.6,-124.16,53.01,100,90,2.98
74,Novyy Svit,UA,2020-08-28 14:15:17,47.81,38.02,79.27,28,37,16.8
75,Pauini,BR,2020-08-28 14:15:17,-7.71,-66.98,91.58,37,97,3.62
76,Airai,TL,2020-08-28 14:15:17,-8.93,125.41,55.06,77,30,4.43
77,Dingle,PH,2020-08-28 14:15:17,11.0,122.67,77.22,87,100,2.77
78,Hobart,AU,2020-08-28 14:15:17,-42.88,147.33,53.01,53,69,12.75
79,Portland,US,2020-08-28 14:13:37,45.52,-122.68,59.0,93,75,4.7
80,La Asuncion,VE,2020-08-28 14:14:40,11.03,-63.86,84.2,79,32,11.41
81,Iqaluit,CA,2020-08-28 14:14:27,63.75,-68.51,51.8,50,40,3.65
82,Manokwari,ID,2020-08-28 14:15:18,-0.87,134.08,80.37,76,88,5.7
83,Victoria,HK,2020-08-28 14:11:58,22.29,114.16,86.0,70,20,3.36
84,Lavrentiya,RU,2020-08-28 14:12:05,65.58,-171.0,47.23,84,92,3.56
85,Mahebourg,MU,2020-08-28 14:15:18,-20.41,57.7,73.4,83,75,11.41
86,Rudkobing,DK,2020-08-28 14:15:18,54.94,10.71,66.0,82,75,14.99
87,Thompson,CA,2020-08-28 14:12:09,55.74,-97.86,48.2,100,90,6.93
88,Berlevag,NO,2020-08-28 14:12:37,70.86,29.09,50.0,61,40,18.34
89,Verkhoyansk,RU,2020-08-28 14:15:19,67.54,133.38,44.89,58,0,1.12
90,Elizabeth City,US,2020-08-28 14:15:19,36.29,-76.25,86.0,74,1,10.29
91,Providencia,MX,2020-08-28 14:15:19,28.72,-111.58,86.0,76,0,15.43
92,Laguna,US,2020-08-28 14:15:19,38.42,-121.42,63.0,77,1,3.36
93,Neuquen,AR,2020-08-28 14:15:20,-38.95,-68.06,46.4,38,72,3.36
94,Ribeira Grande,PT,2020-08-28 14:15:20,38.52,-28.7,78.8,88,40,10.29
95,Pangai,TO,2020-08-28 14:15:20,-19.8,-174.35,75.24,74,9,22.82
96,Tongchuan,CN,2020-08-28 14:15:20,35.08,109.09,74.82,62,0,9.19
97,Lysa Hora,UA,2020-08-28 14:15:20,48.17,31.11,77.68,33,5,14.14
98,Luocheng,CN,2020-08-28 14:15:20,29.38,104.03,75.65,93,93,6.24
99,Alikovo,RU,2020-08-28 14:15:20,55.74,46.75,71.6,64,40,6.71
100,Arraial Do Cabo,BR,2020-08-28 14:15:21,-22.97,-42.03,77.0,69,20,17.22
101,Hithadhoo,MV,2020-08-28 14:15:21,-0.6,73.08,78.48,81,100,18.45
102,Rioja,AR,2020-08-28 14:11:07,-29.41,-66.85,66.74,37,0,4.09
103,Marienburg,PL,2020-08-28 14:15:21,54.04,19.03,71.01,63,75,10.29
104,Los Llanos De Aridane,ES,2020-08-28 14:12:53,28.66,-17.92,84.0,74,20,19.46
105,Westport,US,2020-08-28 14:15:21,41.14,-73.36,77.0,73,1,8.05
106,Yahualica,MX,2020-08-28 14:15:22,21.13,-102.85,63.07,89,95,0.38
107,Georgetown,MY,2020-08-28 14:12:48,5.41,100.34,86.0,70,20,4.7
108,Road Town,VG,2020-08-28 14:11:26,18.42,-64.62,86.0,74,40,8.05
109,Mbanza-Ngungu,CD,2020-08-28 14:15:22,-5.25,14.87,85.37,46,100,7.38
110,High River,CA,2020-08-28 14:15:22,50.58,-113.87,53.01,84,0,4.83
111,Daru,PG,2020-08-28 14:15:22,-9.08,143.21,76.17,85,100,18.66
112,Katsuura,JP,2020-08-28 14:15:22,35.13,140.3,84.2,89,40,13.87
113,Quatre Cocos,MU,2020-08-28 14:15:23,-20.21,57.76,73.4,83,75,11.41
114,Adeje,ES,2020-08-28 14:15:23,28.12,-16.73,98.01,23,1,21.92
115,Eatonton,US,2020-08-28 14:15:23,33.33,-83.39,84.0,86,100,3.33
116,Visnes,NO,2020-08-28 14:15:23,59.36,5.22,64.0,63,98,8.05
117,Kuntaur,GM,2020-08-28 14:15:23,13.67,-14.88,90.82,57,62,7.52
118,Leningradskiy,RU,2020-08-28 14:15:24,69.38,178.42,37.49,93,100,3.74
119,Yellowknife,CA,2020-08-28 14:15:24,62.46,-114.35,50.0,100,75,4.7
120,Tasiilaq,GL,2020-08-28 14:15:24,65.61,-37.64,42.8,70,75,9.17
121,Bardiyah,LY,2020-08-28 14:15:24,31.76,25.09,83.5,52,0,11.74
122,Nivala,FI,2020-08-28 14:15:25,63.92,24.97,57.99,53,1,0.94
123,Sesheke,ZM,2020-08-28 14:15:25,-17.48,24.3,95.0,20,20,4.7
124,Le Port,RE,2020-08-28 14:15:25,-20.94,55.29,72.0,78,90,11.41
125,Kavieng,PG,2020-08-28 14:15:25,-2.57,150.8,80.74,84,100,13.94
126,East London,ZA,2020-08-28 14:12:44,-33.02,27.91,64.4,68,20,9.17
127,Olinda,BR,2020-08-28 14:15:26,-8.01,-34.86,80.6,74,40,6.93
128,Khani,GE,2020-08-28 14:15:26,41.96,42.96,82.4,58,51,13.87
129,Kota Bahru,MY,2020-08-28 14:10:34,6.13,102.24,82.4,78,40,2.24
130,Natal,BR,2020-08-28 14:11:23,-5.79,-35.21,82.4,65,75,17.22
131,Namwala,ZM,2020-08-28 14:15:26,-15.75,26.44,94.15,13,0,6.76
132,Faanui,PF,2020-08-28 14:15:26,-16.48,-151.75,76.86,80,69,21.47
133,Dunedin,NZ,2020-08-28 14:15:26,-45.87,170.5,44.01,81,100,8.01
134,Anadyr,RU,2020-08-28 14:15:27,64.75,177.48,46.4,93,75,2.24
135,Dikson,RU,2020-08-28 14:11:45,73.51,80.55,47.48,84,3,2.95
136,Jamestown,US,2020-08-28 14:11:37,42.1,-79.24,70.0,100,90,3.36
137,Khatanga,RU,2020-08-28 14:15:27,71.97,102.5,58.53,58,81,7.45
138,Narsaq,GL,2020-08-28 14:15:27,60.92,-46.05,62.6,45,75,20.8
139,Kununurra,AU,2020-08-28 14:15:27,-15.77,128.73,75.2,19,0,8.05
140,Sterling,US,2020-08-28 14:14:10,39.01,-77.43,84.99,69,75,3.36
141,Klaksvik,FO,2020-08-28 14:15:28,62.23,-6.59,50.0,71,75,11.41
142,Norman Wells,CA,2020-08-28 14:13:21,65.28,-126.83,42.8,81,75,4.7
143,Guantanamo,CU,2020-08-28 14:15:28,20.14,-75.21,86.0,78,20,9.17
144,Qaanaaq,GL,2020-08-28 14:15:28,77.48,-69.36,39.54,88,100,8.7
145,Kawardha,IN,2020-08-28 14:15:28,22.02,81.25,74.7,90,100,10.87
146,Tateyama,JP,2020-08-28 14:15:28,34.98,139.87,84.0,86,0,3.0
147,Khandyga,RU,2020-08-28 14:15:29,62.67,135.6,45.01,57,0,3.47
148,Puerto Escondido,MX,2020-08-28 14:15:29,15.85,-97.07,73.4,69,75,5.82
149,Hilo,US,2020-08-28 14:15:29,19.73,-155.09,69.8,83,1,8.05
150,Kaeo,NZ,2020-08-28 14:15:29,-35.1,173.78,45.0,3,0,7.45
151,Bethel,US,2020-08-28 14:11:33,41.37,-73.41,73.0,83,1,8.05
152,Catamarca,AR,2020-08-28 14:15:29,-28.47,-65.79,64.99,48,0,1.99
153,Tiksi,RU,2020-08-28 14:15:30,71.69,128.87,43.09,78,48,5.48
154,Beringovskiy,RU,2020-08-28 14:15:30,63.05,179.32,49.17,85,94,8.08
155,Mabaruma,GY,2020-08-28 14:15:30,8.2,-59.78,86.81,65,29,5.53
156,Sao Felix Do Xingu,BR,2020-08-28 14:15:30,-6.64,-51.99,99.21,29,29,3.24
157,Thinadhoo,MV,2020-08-28 14:15:31,0.53,72.93,81.12,78,100,18.43
158,Luderitz,NA,2020-08-28 14:15:31,-26.65,15.16,60.76,54,0,16.78
159,Zaykovo,RU,2020-08-28 14:15:31,57.56,62.76,69.64,78,30,0.22
160,Vila Velha,BR,2020-08-28 14:15:31,-20.33,-40.29,75.99,88,90,5.82
161,Kupang,ID,2020-08-28 14:12:42,-10.17,123.58,76.86,65,0,14.83
162,Ponta Do Sol,PT,2020-08-28 14:15:31,32.67,-17.1,82.4,58,20,21.92
163,Ewa Beach,US,2020-08-28 14:15:31,21.32,-158.01,78.8,78,1,3.36
164,Brodokalmak,RU,2020-08-28 14:15:32,55.57,62.08,78.8,39,20,8.95
165,Manavalakurichi,IN,2020-08-28 14:15:32,8.13,77.3,84.2,79,40,9.17
166,Hasaki,JP,2020-08-28 14:14:47,35.73,140.83,80.6,94,0,5.82
167,Zaysan,KZ,2020-08-28 14:15:32,47.47,84.87,61.97,58,95,9.86
168,Talnakh,RU,2020-08-28 14:12:31,69.49,88.4,59.0,82,93,6.71
169,Czestochowa,PL,2020-08-28 14:15:32,50.8,19.12,79.0,38,8,9.17
170,Tezu,IN,2020-08-28 14:15:33,27.92,96.17,77.22,79,48,3.09
171,Nizhniy Kuranakh,RU,2020-08-28 14:15:33,58.84,125.49,46.35,64,84,3.2
172,Iranshahr,IR,2020-08-28 14:10:40,27.2,60.68,107.6,11,20,13.87
173,Cayenne,GF,2020-08-28 14:15:33,4.93,-52.33,87.8,62,96,4.7
174,Saint-Dizier,FR,2020-08-28 14:15:33,48.42,5.08,70.0,49,75,13.87
175,San Jose,US,2020-08-28 14:11:36,37.34,-121.89,59.0,82,40,6.93
176,Woodland,US,2020-08-28 14:15:34,38.68,-121.77,62.01,77,1,5.82
177,Waipawa,NZ,2020-08-28 14:15:34,-41.41,175.52,55.4,71,16,18.34
178,Yarim,YE,2020-08-28 14:15:34,14.3,44.38,61.34,75,62,7.18
179,Acapulco,MX,2020-08-28 14:15:34,16.86,-99.89,77.0,88,75,4.7
180,Krasnoselkup,RU,2020-08-28 14:15:34,65.7,82.47,57.38,76,14,1.12
181,Lufilufi,WS,2020-08-28 14:15:34,-13.87,-171.6,73.4,94,40,3.36
182,Kozhva,RU,2020-08-28 14:15:34,65.11,57.05,56.14,67,58,5.84
183,Port Hedland,AU,2020-08-28 14:15:35,-20.32,118.57,69.8,68,0,4.7
184,Tura,IN,2020-08-28 14:15:35,25.52,90.22,75.31,92,88,4.27
185,Belmonte,BR,2020-08-28 14:15:35,-15.86,-38.88,77.0,69,40,6.93
186,Nipawin,CA,2020-08-28 14:15:35,53.37,-104.0,53.6,93,20,11.41
187,Tilichiki,RU,2020-08-28 14:15:35,60.47,166.1,44.74,83,100,8.68
188,Okhotsk,RU,2020-08-28 14:15:35,59.38,143.3,52.25,78,100,9.57
189,Stromness,GB,2020-08-28 14:11:35,58.97,-3.3,53.6,76,75,24.16
190,Ellensburg,US,2020-08-28 14:11:04,47.0,-120.55,52.0,62,1,5.82
191,Morondava,MG,2020-08-28 14:15:36,-20.28,44.28,78.49,70,0,9.98
192,Lorengau,PG,2020-08-28 14:10:55,-2.02,147.27,82.33,77,79,9.44
193,Grand Gaube,MU,2020-08-28 14:15:36,-20.01,57.66,73.0,72,0,5.01
194,Marinette,US,2020-08-28 14:15:36,45.1,-87.63,69.8,83,90,9.17
195,Coihaique,CL,2020-08-28 14:15:36,-45.58,-72.07,32.0,86,75,24.16
196,Kodiak,US,2020-08-28 14:15:36,57.79,-152.41,50.05,82,0,8.16
197,Maldonado,UY,2020-08-28 14:13:25,-34.67,-54.92,57.0,93,90,5.82
198,Veraval,IN,2020-08-28 14:15:37,20.9,70.37,81.5,87,100,16.08
199,Nelson Bay,AU,2020-08-28 14:15:37,-32.72,152.15,48.0,87,0,6.93
200,Esperance,AU,2020-08-28 14:12:00,-33.87,121.9,69.8,40,98,14.99
201,Lodwar,KE,2020-08-28 14:15:37,3.12,35.6,94.32,28,0,8.46
202,Saint-Augustin,CA,2020-08-28 14:15:37,51.23,-58.65,58.15,65,19,11.14
203,Ostersund,SE,2020-08-28 14:15:37,63.18,14.64,57.2,50,99,5.82
204,Zhanaozen,KZ,2020-08-28 14:15:37,43.3,52.8,88.48,12,97,10.92
205,Yerbogachen,RU,2020-08-28 14:15:38,61.28,108.01,54.63,68,100,1.25
206,Kruisfontein,ZA,2020-08-28 14:15:38,-34.0,24.73,64.99,50,2,10.0
207,Marsa Matruh,EG,2020-08-28 14:15:38,31.35,27.25,84.58,52,0,12.26
208,Peniche,PT,2020-08-28 14:15:38,39.36,-9.38,75.99,66,38,18.01
209,Kaitong,CN,2020-08-28 14:15:38,44.81,123.15,58.03,94,100,10.6
210,Kango,GA,2020-08-28 14:15:39,0.19,10.1,82.15,72,100,4.56
211,Melipilla,CL,2020-08-28 14:11:43,-33.7,-71.22,48.0,87,90,2.24
212,Souillac,MU,2020-08-28 14:15:39,-20.52,57.52,73.4,83,75,11.41
213,Darhan,MN,2020-08-28 14:15:39,49.49,105.92,55.49,86,50,4.03
214,Nemuro,JP,2020-08-28 14:14:34,43.32,145.57,69.03,98,64,9.1
215,Tula,RU,2020-08-28 14:12:29,54.2,37.61,66.74,74,100,9.28
216,Sao Filipe,CV,2020-08-28 14:15:40,14.9,-24.5,79.0,82,91,5.7
217,Araouane,ML,2020-08-28 14:15:40,18.9,-3.53,105.26,19,0,11.01
218,Nome,US,2020-08-28 14:15:40,64.5,-165.41,50.0,93,90,4.61
219,Bowling Green,US,2020-08-28 14:15:40,36.99,-86.44,79.0,83,90,9.17
220,Mehamn,NO,2020-08-28 14:15:41,71.04,27.85,50.0,61,40,18.34
221,Adre,TD,2020-08-28 14:15:41,13.47,22.2,87.73,46,94,3.06
222,Cherskiy,RU,2020-08-28 14:15:41,68.75,161.3,37.96,92,9,6.02
223,Khilok,RU,2020-08-28 14:15:41,51.37,110.47,54.34,94,100,3.49
224,Yuancheng,CN,2020-08-28 14:15:41,36.65,107.79,71.94,63,4,10.83
225,Tsumeb,NA,2020-08-28 14:15:42,-19.23,17.72,86.36,17,73,16.91
226,Clyde River,CA,2020-08-28 14:12:38,70.47,-68.59,53.6,66,90,12.75
227,Santo Domingo,DO,2020-08-28 14:15:15,18.5,-69.99,87.01,74,40,6.93
228,Sinnamary,GF,2020-08-28 14:15:42,5.38,-52.95,83.03,78,100,3.15
229,Sorong,ID,2020-08-28 14:15:42,-0.88,131.25,80.64,83,100,14.34
230,Mount Gambier,AU,2020-08-28 14:15:42,-37.83,140.77,44.6,93,20,6.93
231,Xichang,CN,2020-08-28 14:15:42,27.9,102.26,67.91,72,83,3.18
232,Castro,BR,2020-08-28 14:11:50,-24.79,-50.01,73.31,41,0,3.96
233,Hirara,JP,2020-08-28 14:15:43,24.8,125.28,83.57,84,100,10.71
234,Edd,ER,2020-08-28 14:15:43,13.93,41.69,95.29,43,0,17.52
235,Teavaro,PF,2020-08-28 14:15:43,-17.5,-149.77,71.6,83,20,2.24
236,Nikolskoye,RU,2020-08-28 14:15:44,59.7,30.79,59.0,82,90,4.47
237,Aras,ES,2020-08-28 14:15:44,42.56,-2.36,69.8,60,75,4.7
238,Hobyo,SO,2020-08-28 14:15:44,5.35,48.53,79.25,72,12,30.24
239,Aveiras De Cima,PT,2020-08-28 14:15:44,39.14,-8.9,82.99,10,0,18.77
240,Petropavlovsk-Kamchatskiy,RU,2020-08-28 14:15:45,53.05,158.65,50.0,100,90,4.47
241,Hofn,IS,2020-08-28 14:15:45,64.25,-15.21,55.4,71,40,9.17
242,Bahir Dar,ET,2020-08-28 14:15:45,11.59,37.39,72.21,73,65,4.88
243,Agdam,AZ,2020-08-28 14:15:46,39.99,46.93,83.08,42,1,4.79
244,Camocim,BR,2020-08-28 14:15:46,-2.9,-40.84,89.6,43,0,17.22
245,Bengkulu,ID,2020-08-28 14:13:48,-3.8,102.27,78.58,81,26,9.26
246,Jiangyou,CN,2020-08-28 14:15:46,31.77,104.72,75.6,81,31,5.5
247,Prince Rupert,CA,2020-08-28 14:15:46,54.32,-130.32,53.6,93,90,3.36
248,Seoul,KR,2020-08-28 14:15:27,37.57,126.98,80.6,94,75,2.08
249,Leirvik,NO,2020-08-28 14:15:47,59.78,5.5,66.2,52,40,2.24
250,Nalut,LY,2020-08-28 14:15:47,30.33,10.85,97.07,15,0,1.66
251,Beckley,US,2020-08-28 14:15:47,37.78,-81.19,77.0,88,1,4.7
252,Flin Flon,CA,2020-08-28 14:15:47,54.77,-101.86,57.2,76,20,11.41
253,Omsukchan,RU,2020-08-28 14:15:47,62.53,155.8,34.59,89,5,4.99
254,Presidente Epitacio,BR,2020-08-28 14:15:48,-21.76,-52.12,81.3,33,0,6.73
255,Camacha,PT,2020-08-28 14:15:48,33.08,-16.33,77.0,69,40,12.75
256,Cabedelo,BR,2020-08-28 14:13:59,-6.98,-34.83,82.4,65,75,12.75
257,La Ronge,CA,2020-08-28 14:14:54,55.1,-105.28,51.8,93,40,6.93
258,Tamandare,BR,2020-08-28 14:15:48,-8.76,-35.1,79.29,70,100,6.42
259,Chuy,UY,2020-08-28 14:15:48,-33.7,-53.46,58.91,96,100,5.08
260,Altay,CN,2020-08-28 14:11:46,47.87,88.12,59.22,53,72,6.04
261,Alofi,NU,2020-08-28 14:15:49,-19.06,-169.92,73.4,69,99,10.29
262,Capao Bonito,BR,2020-08-28 14:15:49,-24.01,-48.35,76.39,46,0,4.72
263,Tanza,PH,2020-08-28 14:15:49,14.68,120.94,86.0,74,100,10.29
264,Maua,BR,2020-08-28 14:15:49,-23.67,-46.46,73.99,64,0,4.7
265,Dongsheng,CN,2020-08-28 14:15:50,39.82,109.98,70.59,38,0,6.64
266,Baykit,RU,2020-08-28 14:15:50,61.67,96.37,54.14,84,44,1.92
267,Honiara,SB,2020-08-28 14:12:05,-9.43,159.95,75.2,100,75,3.36
268,College,US,2020-08-28 14:15:50,64.86,-147.8,48.99,100,90,1.28
269,Puyang,CN,2020-08-28 14:15:51,29.46,119.89,73.22,92,100,3.29
270,Torbay,CA,2020-08-28 14:14:04,47.67,-52.73,64.0,59,20,26.4
