City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country,Date
86,Imbituba,-28.24,-48.67,64.4,77,75,17.22,broken clouds,BR,2020-08-31 01:17:29
87,Ostersund,63.18,14.64,42.8,87,15,11.41,few clouds,SE,2020-08-31 01:17:30
88,Ponta Do Sol,32.67,-17.1,71.6,64,40,21.92,scattered clouds,PT,2020-08-31 01:17:30
89,Tuatapere,-46.13,167.68,60.82,53,1,16.62,clear sky,NZ,2020-08-31 01:17:30
90,Qaanaaq,77.48,-69.36,28.87,82,0,5.5,clear sky,GL,2020-08-31 01:17:31
91,Saint Anthony,45.02,-93.22,72.0,56,20,9.17,few clouds,US,2020-08-31 01:17:31
92,Nome,64.5,-165.41,54.0,81,90,13.87,light rain,US,2020-08-31 01:17:31
93,Esperance,-33.87,121.9,50.0,81,0,16.11,clear sky,AU,2020-08-31 01:17:32
94,Nieuw Amsterdam,5.88,-55.08,77.0,94,74,6.24,broken clouds,SR,2020-08-31 01:17:32
95,Tiksi,71.69,128.87,43.95,79,1,9.86,clear sky,RU,2020-08-31 01:17:33
96,Karratha,-20.74,116.85,85.91,20,39,10.45,scattered clouds,AU,2020-08-31 01:17:33
97,Sitio Novo Do Tocantins,-5.52,-47.46,86.4,33,65,3.27,broken clouds,BR,2020-08-31 01:17:33
98,Cidreira,-30.18,-50.21,55.63,85,100,8.43,overcast clouds,BR,2020-08-31 01:17:34
99,Kahului,20.89,-156.47,91.4,38,40,27.51,scattered clouds,US,2020-08-31 01:17:34
100,Maningrida,-12.07,134.27,85.44,56,37,14.72,scattered clouds,AU,2020-08-31 01:17:34
101,Georgetown,5.41,100.34,80.6,94,20,2.24,haze,MY,2020-08-31 01:17:35
102,Shenjiamen,29.96,122.3,82.62,82,0,9.48,clear sky,CN,2020-08-31 01:17:35
103,Coihaique,-45.58,-72.07,39.2,86,20,2.24,few clouds,CL,2020-08-31 01:17:35
104,Sao Jose Da Coroa Grande,-8.9,-35.15,74.95,84,18,9.08,few clouds,BR,2020-08-31 01:17:35
105,New Norfolk,-42.78,147.06,48.0,66,82,1.99,light rain,AU,2020-08-31 01:17:36
106,Ribeira Grande,38.52,-28.7,74.66,93,9,7.14,clear sky,PT,2020-08-31 01:17:37
107,Hermanus,-34.42,19.23,37.99,88,0,11.77,clear sky,ZA,2020-08-31 01:17:37
108,Springdale,36.19,-94.13,78.8,83,75,8.05,broken clouds,US,2020-08-31 01:17:37
109,Sri Aman,1.24,111.46,77.0,100,40,0.78,light rain,MY,2020-08-31 01:17:37
110,Mazatlan,23.22,-106.42,84.0,83,75,8.05,thunderstorm,MX,2020-08-31 01:16:27
111,Balad,34.02,44.15,83.03,18,0,2.13,clear sky,IQ,2020-08-31 01:13:35
112,Meadow Lake,34.8,-106.54,84.2,28,40,17.22,light rain,US,2020-08-31 01:17:39
113,Flinders,-34.58,150.86,66.99,65,21,7.0,few clouds,AU,2020-08-31 01:17:39
114,Jega,12.22,4.38,74.46,88,100,6.44,light rain,NG,2020-08-31 01:17:40
115,Tateyama,34.98,139.87,88.0,74,75,9.17,broken clouds,JP,2020-08-31 01:17:40
116,Lata,40.16,-8.33,59.0,88,92,3.24,overcast clouds,PT,2020-08-31 01:17:40
117,North Bend,43.41,-124.22,72.0,67,1,27.51,clear sky,US,2020-08-31 01:17:41
118,Sangar,63.92,127.47,53.94,75,97,3.56,overcast clouds,RU,2020-08-31 01:17:41
119,Paamiut,61.99,-49.67,44.4,83,22,17.85,few clouds,GL,2020-08-31 01:17:41
120,Carnarvon,-24.87,113.63,62.6,100,0,1.12,clear sky,AU,2020-08-31 01:17:42
121,Tromso,69.65,18.96,42.8,81,40,10.29,scattered clouds,NO,2020-08-31 01:17:42
122,Devils Lake,48.11,-98.87,57.2,82,75,16.11,broken clouds,US,2020-08-31 01:17:42
123,Muroto,33.28,134.15,87.8,66,20,3.36,few clouds,JP,2020-08-31 01:17:43
124,Barrow,71.29,-156.79,39.2,86,90,16.11,overcast clouds,US,2020-08-31 01:17:43
125,Fiumicino,41.77,12.23,78.01,78,40,2.24,scattered clouds,IT,2020-08-31 01:17:43
126,Cap Malheureux,-19.98,57.61,71.01,75,57,8.99,light rain,MU,2020-08-31 01:17:44
127,Quatre Cocos,-20.21,57.76,71.6,78,75,18.34,shower rain,MU,2020-08-31 01:17:44
128,Rjukan,59.88,8.59,44.01,89,54,3.0,broken clouds,NO,2020-08-31 01:17:45
129,Pictou,45.68,-62.72,63.0,76,0,5.99,clear sky,CA,2020-08-31 01:17:45
130,Mincivan,39.03,46.72,70.29,48,0,1.41,clear sky,AZ,2020-08-31 01:17:45
131,Kilindoni,-7.91,39.67,76.28,74,70,12.44,broken clouds,TZ,2020-08-31 01:17:46
132,Aklavik,68.22,-135.01,50.0,81,90,2.24,light rain,CA,2020-08-31 01:17:46
133,Rincon,32.3,-81.24,82.0,78,40,3.36,moderate rain,US,2020-08-31 01:14:06
134,Olafsvik,64.89,-23.71,52.41,91,100,29.04,moderate rain,IS,2020-08-31 01:17:46
135,Sao Filipe,14.9,-24.5,77.56,83,74,6.46,broken clouds,CV,2020-08-31 01:17:47
136,Launceston,-41.45,147.17,52.0,49,40,5.82,scattered clouds,AU,2020-08-31 01:15:47
137,Pacifica,37.61,-122.49,60.01,93,90,9.17,overcast clouds,US,2020-08-31 01:17:47
138,Marawi,8.0,124.29,84.0,69,100,3.0,overcast clouds,PH,2020-08-31 01:17:47
139,Dingle,11.0,122.67,84.34,75,100,11.48,overcast clouds,PH,2020-08-31 01:17:48
140,Cayenne,4.93,-52.33,80.6,83,88,3.36,overcast clouds,GF,2020-08-31 01:17:48
141,Port Elizabeth,-33.92,25.57,44.6,81,0,6.93,clear sky,ZA,2020-08-31 01:17:48
142,Tucuman,-26.82,-65.22,50.0,81,90,5.82,light intensity drizzle,AR,2020-08-31 01:15:00
143,Kutum,14.2,24.67,73.9,68,81,7.45,broken clouds,SD,2020-08-31 01:17:49
144,Thompson,55.74,-97.86,53.6,100,75,3.36,broken clouds,CA,2020-08-31 01:17:49
145,Santa Isabel,-23.32,-46.22,73.4,64,3,5.82,clear sky,BR,2020-08-31 01:17:49
146,Hay River,60.82,-115.8,55.4,58,40,3.36,scattered clouds,CA,2020-08-31 01:17:49
147,Bambous Virieux,-20.34,57.76,71.6,78,75,18.34,shower rain,MU,2020-08-31 01:17:50
148,Saurimo,-9.66,20.39,69.85,69,53,2.86,broken clouds,AO,2020-08-31 01:17:50
