City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
168,Mayenne,FR,2021-03-12 15:06:24,48.3333,-0.6667,51.8,51.8,51.8,Clouds,broken clouds,71,75,16.11
169,Luderitz,NA,2021-03-12 15:06:25,-26.6481,15.1594,74.8,74.8,74.8,Clouds,scattered clouds,60,29,8.95
170,Tautira,PF,2021-03-12 15:06:25,-17.7333,-149.15,77.0,77.0,77.0,Clouds,few clouds,88,20,4.61
171,Gizo,SB,2021-03-12 15:06:25,-8.103,156.8419,81.61,81.61,81.61,Rain,heavy intensity rain,77,100,8.66
172,Salta,AR,2021-03-12 15:06:26,-24.7859,-65.4117,73.4,73.4,73.4,Clouds,scattered clouds,68,40,4.61
173,Sawtell,AU,2021-03-12 15:06:26,-30.3833,153.1,71.65,69.01,73.4,Clouds,scattered clouds,83,40,11.5
174,Piet Retief,ZA,2021-03-12 15:06:12,-27.0071,30.8132,73.47,73.47,73.47,Clear,clear sky,62,0,6.96
175,Huancabamba,PE,2021-03-12 15:06:26,-5.2386,-79.4506,68.07,68.07,68.07,Clouds,overcast clouds,71,97,1.36
176,Ostrovnoy,RU,2021-03-12 15:06:27,68.0531,39.5131,14.45,14.45,14.45,Clouds,scattered clouds,88,30,29.28
177,Broken Hill,AU,2021-03-12 15:06:27,-31.95,141.4333,78.8,78.8,78.8,Clear,clear sky,34,0,9.22
178,Vestmanna,FO,2021-03-12 15:06:28,62.1564,-7.1664,39.2,39.2,39.2,Drizzle,drizzle,93,75,18.41
179,Jamestown,US,2021-03-12 15:06:28,42.097,-79.2353,44.04,42.8,46.0,Clear,clear sky,61,1,10.16
180,Victoria,HK,2021-03-12 15:04:28,22.2855,114.1577,71.76,64.99,73.99,Clear,clear sky,83,10,6.82
181,Riyadh,SA,2021-03-12 15:06:17,24.6877,46.7219,95.0,95.0,95.0,Dust,dust,7,0,13.8
182,Dhidhdhoo,MV,2021-03-12 15:06:29,6.8833,73.1,83.55,83.55,83.55,Clear,clear sky,74,7,15.52
183,Emba,KZ,2021-03-12 15:06:30,48.8264,58.1442,-1.46,-1.46,-1.46,Clouds,scattered clouds,92,38,5.39
184,Iracoubo,GF,2021-03-12 15:06:30,5.4802,-53.2011,77.09,77.09,77.09,Clouds,overcast clouds,89,100,7.38
185,Pingshan,CN,2021-03-12 15:06:31,22.9938,114.7131,72.59,72.59,72.59,Clear,clear sky,75,4,3.0
186,Arraial Do Cabo,BR,2021-03-12 15:06:31,-22.9661,-42.0278,83.16,82.4,84.2,Clear,clear sky,78,0,10.36
