City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,2021-03-18 16:45:08,22.0752,-159.319,65.75,63.0,69.01,Rain,light rain,94,90,21.85
1,Saint-Philippe,RE,2021-03-18 16:45:13,-21.3585,55.7679,73.87,64.99,78.8,Clouds,few clouds,73,20,12.66
2,Pozo Colorado,PY,2021-03-18 16:46:56,-23.4923,-58.7972,90.99,90.99,90.99,Clouds,broken clouds,38,78,5.77
3,Tual,ID,2021-03-18 16:45:18,-5.6667,132.75,83.17,83.17,83.17,Clouds,broken clouds,71,64,2.86
4,Ponta Delgada,PT,2021-03-18 16:46:57,37.7333,-25.6667,60.8,60.8,60.8,Clouds,few clouds,67,20,13.8
5,Ostrovnoy,RU,2021-03-18 16:45:17,68.0531,39.5131,13.93,13.93,13.93,Clouds,overcast clouds,92,100,10.76
6,Lebu,CL,2021-03-18 16:45:06,-37.6167,-73.65,61.47,61.47,61.47,Clear,clear sky,73,0,10.74
7,Barrow,US,2021-03-18 16:45:22,71.2906,-156.7887,-9.4,-9.4,-9.4,Clouds,scattered clouds,84,40,4.27
8,Rikitea,PF,2021-03-18 16:44:52,-23.1203,-134.9692,78.55,78.55,78.55,Rain,moderate rain,80,100,17.16
9,Maragogi,BR,2021-03-18 16:46:58,-9.0122,-35.2225,84.18,84.18,84.18,Clouds,scattered clouds,64,42,11.54
10,Nicoya,CR,2021-03-18 16:46:58,10.1483,-85.452,87.8,87.8,87.8,Clear,clear sky,48,0,5.75
11,Moussoro,TD,2021-03-18 16:46:59,13.6408,16.4901,89.58,89.58,89.58,Clouds,overcast clouds,12,87,2.21
12,Busselton,AU,2021-03-18 16:43:57,-33.65,115.3333,65.28,64.0,66.0,Clouds,overcast clouds,83,86,1.99
13,Hithadhoo,MV,2021-03-18 16:46:59,-0.6,73.0833,83.97,83.97,83.97,Clouds,overcast clouds,70,97,7.31
14,Butaritari,KI,2021-03-18 16:45:16,3.0707,172.7902,81.27,81.27,81.27,Rain,light rain,79,36,13.76
15,Vaini,TO,2021-03-18 16:45:06,-21.2,-175.2,71.6,71.6,71.6,Clouds,few clouds,100,20,3.44
16,Kirakira,SB,2021-03-18 16:47:00,-10.4544,161.9205,78.8,78.8,78.8,Clouds,overcast clouds,83,97,3.22
17,Sangar,RU,2021-03-18 16:47:00,63.9242,127.4739,-24.93,-24.93,-24.93,Clear,clear sky,92,5,1.03
18,Anloga,GH,2021-03-18 16:47:00,5.7947,0.8973,80.6,80.6,80.6,Clouds,scattered clouds,74,40,6.91
19,Ushuaia,AR,2021-03-18 16:41:59,-54.8,-68.3,46.4,46.4,46.4,Clouds,scattered clouds,81,40,23.02
20,Ha Giang,VN,2021-03-18 16:47:01,22.8333,104.9833,74.97,74.97,74.97,Clouds,scattered clouds,95,49,1.7
21,Saskylakh,RU,2021-03-18 16:44:58,71.9167,114.0833,-19.97,-19.97,-19.97,Clouds,overcast clouds,90,92,4.21
22,Katsuura,JP,2021-03-18 16:47:01,35.1333,140.3,56.91,54.0,59.0,Mist,mist,82,75,4.61
23,Albany,US,2021-03-18 16:45:03,42.6001,-73.9662,38.8,36.0,41.0,Rain,light rain,81,100,2.24
24,Tuktoyaktuk,CA,2021-03-18 16:46:08,69.4541,-133.0374,-25.6,-25.6,-25.6,Clouds,few clouds,68,20,2.3
25,Atuona,PF,2021-03-18 16:45:19,-9.8,-139.0333,80.13,80.13,80.13,Clouds,scattered clouds,78,49,13.29
26,Yellowknife,CA,2021-03-18 16:40:20,62.456,-114.3525,14.65,12.2,18.0,Clouds,scattered clouds,79,40,3.44
27,Cape Town,ZA,2021-03-18 16:40:29,-33.9258,18.4232,68.43,66.99,69.8,Clouds,broken clouds,64,75,11.5
28,Hasaki,JP,2021-03-18 16:44:55,35.7333,140.8333,51.15,50.0,51.8,Clouds,broken clouds,93,75,11.5
29,Avarua,CK,2021-03-18 16:45:53,-21.2078,-159.775,78.8,78.8,78.8,Clouds,scattered clouds,83,40,8.05
30,Itarema,BR,2021-03-18 16:47:03,-2.9248,-39.9167,84.81,84.81,84.81,Clouds,scattered clouds,66,40,10.85
31,Evensk,RU,2021-03-18 16:47:03,61.95,159.2333,3.2,3.2,3.2,Clouds,overcast clouds,64,98,12.41
32,San Patricio,US,2021-03-18 16:44:58,28.017,-97.5169,62.87,62.6,63.0,Clear,clear sky,34,1,14.97
33,Vardo,NO,2021-03-18 16:47:03,70.3705,31.1107,24.8,24.8,24.8,Clouds,broken clouds,74,75,13.8
34,Bredasdorp,ZA,2021-03-18 16:45:19,-34.5322,20.0403,73.4,73.4,73.4,Clear,clear sky,60,3,18.41
35,Grindavik,IS,2021-03-18 16:47:04,63.8424,-22.4338,46.4,46.4,46.4,Mist,mist,100,90,21.85
36,Pisco,PE,2021-03-18 16:47:04,-13.7,-76.2167,73.24,73.0,73.4,Clear,clear sky,68,0,6.91
37,Dingli,MT,2021-03-18 16:47:04,35.8614,14.3822,57.07,55.99,57.99,Clouds,few clouds,67,20,13.8
38,Dondo,MZ,2021-03-18 16:47:05,-19.6094,34.7431,84.09,84.0,84.2,Clouds,few clouds,70,20,11.5
39,Puerto Ayora,EC,2021-03-18 16:46:13,-0.7393,-90.3518,82.78,82.4,82.99,Clouds,scattered clouds,83,40,9.22
40,Pangnirtung,CA,2021-03-18 16:47:05,66.1451,-65.7125,-13.0,-13.0,-13.0,Clouds,broken clouds,64,75,2.3
41,Kasongo-Lunda,CD,2021-03-18 16:47:06,-6.4667,16.8167,76.82,76.82,76.82,Rain,light rain,83,100,0.69
42,Arraial Do Cabo,BR,2021-03-18 16:44:59,-22.9661,-42.0278,90.37,89.6,91.4,Clear,clear sky,55,0,20.71
43,Khatanga,RU,2021-03-18 16:44:57,71.9667,102.5,-21.64,-21.64,-21.64,Clouds,overcast clouds,96,98,11.05
44,Qaanaaq,GL,2021-03-18 16:45:18,77.484,-69.3632,-10.95,-10.95,-10.95,Clear,clear sky,80,1,7.72
45,Mataura,NZ,2021-03-18 16:45:15,-46.1927,168.8643,51.01,51.01,51.01,Clouds,overcast clouds,95,97,1.99
46,Bluff,NZ,2021-03-18 16:45:12,-46.6,168.3333,51.01,51.01,51.01,Clouds,overcast clouds,95,93,1.99
