City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-03-15 14:50:56,-34.5322,20.0403,64.0,64.0,64.0,Clouds,overcast clouds,91,96,1.99
1,Chuy,UY,2021-03-15 14:50:56,-33.6971,-53.4616,76.44,76.44,76.44,Clear,clear sky,61,8,9.4
2,Leningradskiy,RU,2021-03-15 14:50:57,69.3833,178.4167,-7.13,-7.13,-7.13,Clouds,overcast clouds,91,99,3.22
3,Sangar,RU,2021-03-15 14:50:57,63.9242,127.4739,-18.6,-18.6,-18.6,Clouds,broken clouds,95,65,0.54
4,Hermanus,ZA,2021-03-15 14:50:57,-34.4187,19.2345,64.0,64.0,64.0,Clouds,overcast clouds,91,96,1.99
5,Bubaque,GW,2021-03-15 14:50:58,11.2833,-15.8333,79.29,79.29,79.29,Clear,clear sky,52,0,10.92
6,Nome,US,2021-03-15 14:50:58,64.5011,-165.4064,19.4,19.4,19.4,Clouds,overcast clouds,93,90,12.66
7,Busselton,AU,2021-03-15 14:50:58,-33.65,115.3333,61.0,61.0,61.0,Clear,clear sky,52,0,7.58
8,Bethel,US,2021-03-15 14:47:26,41.3712,-73.414,21.27,19.99,23.0,Clear,clear sky,23,1,19.57
9,Jamestown,US,2021-03-15 14:48:00,42.097,-79.2353,23.9,19.4,28.0,Clear,clear sky,45,1,9.66
10,Linjiang,CN,2021-03-15 14:50:59,41.8069,126.9078,28.38,28.38,28.38,Clear,clear sky,81,1,4.34
11,Avarua,CK,2021-03-15 14:50:59,-21.2078,-159.775,75.2,75.2,75.2,Rain,heavy intensity rain,94,75,13.8
12,Torbay,CA,2021-03-15 14:51:00,47.6666,-52.7314,29.07,26.01,30.99,Snow,light snow,63,40,17.27
13,Yellowknife,CA,2021-03-15 14:48:54,62.456,-114.3525,-9.13,-9.4,-9.0,Clouds,few clouds,84,20,8.05
14,Kaitangata,NZ,2021-03-15 14:51:00,-46.2817,169.8464,53.01,53.01,53.01,Clouds,broken clouds,70,63,1.99
15,Waingapu,ID,2021-03-15 14:51:01,-9.6567,120.2641,79.16,79.16,79.16,Clouds,overcast clouds,85,97,1.72
16,Saint-Philippe,RE,2021-03-15 14:51:01,-21.3585,55.7679,78.19,68.0,84.2,Clear,clear sky,61,0,6.91
17,Mahebourg,MU,2021-03-15 14:51:01,-20.4081,57.7,78.8,78.8,78.8,Clouds,broken clouds,89,75,10.36
18,Oussouye,SN,2021-03-15 14:51:02,12.485,-16.5469,100.4,100.4,100.4,Clear,clear sky,16,0,2.3
19,Vaini,TO,2021-03-15 14:46:07,-21.2,-175.2,73.4,73.4,73.4,Clouds,broken clouds,94,75,2.3
20,Khatanga,RU,2021-03-15 14:51:02,71.9667,102.5,-21.3,-21.3,-21.3,Clouds,overcast clouds,96,100,9.93
21,Rikitea,PF,2021-03-15 14:51:03,-23.1203,-134.9692,80.62,80.62,80.62,Clouds,broken clouds,71,60,2.8
22,Ribeira Grande,PT,2021-03-15 14:51:03,38.5167,-28.7,62.6,62.6,62.6,Clouds,scattered clouds,88,40,6.91
23,Bengkulu,ID,2021-03-15 14:51:03,-3.8004,102.2655,79.16,79.16,79.16,Clouds,overcast clouds,80,87,2.48
24,Chokurdakh,RU,2021-03-15 14:51:04,70.6333,147.9167,-12.77,-12.77,-12.77,Clouds,overcast clouds,89,100,6.4
25,Hofn,IS,2021-03-15 14:51:04,64.2539,-15.2082,37.4,37.4,37.4,Rain,light rain,87,90,5.75
26,Szydlowiec,PL,2021-03-15 14:51:05,51.2282,20.8611,45.54,42.01,48.99,Clouds,broken clouds,1,62,4.03
27,Caravelas,BR,2021-03-15 14:51:05,-17.7125,-39.2481,85.64,85.64,85.64,Clouds,scattered clouds,56,29,7.52
28,Sisimiut,GL,2021-03-15 14:51:05,66.9395,-53.6735,8.71,8.71,8.71,Clouds,overcast clouds,84,85,13.71
29,East London,ZA,2021-03-15 14:51:06,-33.0153,27.9116,77.0,77.0,77.0,Clear,clear sky,78,0,10.36
30,Georgetown,MY,2021-03-15 14:51:06,5.4112,100.3354,84.81,84.0,86.0,Clouds,few clouds,70,20,4.61
