City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Barrow,US,2021-03-09 15:03:43,71.2906,-156.7887,19.4,19.4,19.4,Clouds,overcast clouds,68,90,12.66
1,Lagoa,PT,2021-03-09 15:07:28,39.05,-27.9833,59.94,59.94,59.94,Clouds,broken clouds,94,57,18.7
2,Vila Do Maio,CV,2021-03-09 15:11:18,15.1333,-23.2167,75.2,75.2,75.2,Clouds,few clouds,57,20,26.46
3,Albany,US,2021-03-09 15:06:41,42.6001,-73.9662,42.37,41.0,44.6,Clouds,few clouds,53,20,19.57
4,Ponta Do Sol,PT,2021-03-09 15:08:21,32.6667,-17.1,62.26,62.01,62.6,Clouds,scattered clouds,59,40,19.57
5,Kavieng,PG,2021-03-09 15:07:21,-2.5744,150.7967,81.81,81.81,81.81,Clear,clear sky,79,1,10.54
6,Tayu,ID,2021-03-09 15:11:19,-6.5397,111.0518,77.63,77.63,77.63,Clouds,overcast clouds,86,97,4.97
7,Stromness,GB,2021-03-09 15:11:19,58.965,-3.296,46.4,46.4,46.4,Clouds,few clouds,87,20,23.02
8,Busselton,AU,2021-03-09 15:07:22,-33.65,115.3333,73.22,72.0,73.99,Clouds,overcast clouds,71,100,1.99
9,New Norfolk,AU,2021-03-09 15:07:24,-42.7826,147.0587,55.4,55.4,55.4,Clouds,overcast clouds,62,90,3.44
10,Punta Arenas,CL,2021-03-09 15:03:22,-53.15,-70.9167,50.92,50.0,51.8,Rain,light rain,82,90,4.61
11,East London,ZA,2021-03-09 15:07:40,-33.0153,27.9116,75.2,75.2,75.2,Clear,clear sky,69,0,14.97
12,Saskylakh,RU,2021-03-09 15:08:13,71.9167,114.0833,-26.61,-26.61,-26.61,Clouds,broken clouds,85,52,2.3
13,Tessalit,ML,2021-03-09 15:11:20,20.1986,1.0114,97.05,97.05,97.05,Clear,clear sky,9,2,14.85
14,Olafsvik,IS,2021-03-09 15:07:57,64.8945,-23.7142,36.41,36.41,36.41,Clouds,overcast clouds,82,100,17.43
15,Mao,ES,2021-03-09 15:09:38,39.8885,4.2658,57.2,57.2,57.2,Clear,clear sky,51,0,26.46
16,Castro,BR,2021-03-09 15:07:51,-24.7911,-50.0119,75.04,75.04,75.04,Rain,moderate rain,67,0,5.55
17,Shamary,RU,2021-03-09 15:11:21,57.3434,58.2199,7.11,7.11,7.11,Clouds,overcast clouds,95,88,1.03
18,Faanui,PF,2021-03-09 15:07:21,-16.4833,-151.75,82.44,82.44,82.44,Clouds,broken clouds,72,57,14.94
19,Santa Rosa,PH,2021-03-09 15:11:22,14.3122,121.1114,79.86,79.0,80.6,Clouds,few clouds,69,20,4.61
20,Lusambo,CD,2021-03-09 15:11:22,-4.9667,23.45,88.43,88.43,88.43,Clouds,few clouds,45,21,3.83
21,Bluff,NZ,2021-03-09 15:07:30,-46.6,168.3333,57.0,57.0,57.0,Rain,light rain,77,100,8.01
22,Hobart,AU,2021-03-09 15:07:30,-42.8794,147.3294,55.4,55.4,55.4,Clouds,overcast clouds,62,90,3.44
23,Mana,GF,2021-03-09 15:09:19,5.6592,-53.7767,80.76,80.76,80.76,Clouds,overcast clouds,82,99,13.4
24,Ushuaia,AR,2021-03-09 15:03:42,-54.8,-68.3,59.0,59.0,59.0,Clouds,overcast clouds,55,90,13.8
25,Lata,PT,2021-03-09 15:11:23,40.1629,-8.3327,59.97,57.0,64.0,Clear,clear sky,65,8,7.0
26,Qaanaaq,GL,2021-03-09 15:07:23,77.484,-69.3632,-1.19,-1.19,-1.19,Clear,clear sky,68,10,5.77
27,Antsirabe,MG,2021-03-09 15:11:23,-19.85,47.0333,64.98,64.98,64.98,Rain,light rain,83,5,2.73
28,Hilo,US,2021-03-09 15:07:27,19.7297,-155.09,67.59,64.99,69.8,Rain,moderate rain,83,40,5.75
29,Atuona,PF,2021-03-09 15:07:20,-9.8,-139.0333,78.6,78.6,78.6,Clouds,scattered clouds,77,41,15.43
30,Mathbaria,BD,2021-03-09 15:11:24,22.2876,89.9593,74.21,74.21,74.21,Clear,clear sky,83,0,9.53
31,Rikitea,PF,2021-03-09 15:07:22,-23.1203,-134.9692,80.71,80.71,80.71,Rain,moderate rain,81,1,13.94
32,Constitucion,CL,2021-03-09 15:08:08,-35.3333,-72.4167,68.85,68.85,68.85,Clear,clear sky,46,0,3.53
33,Lompoc,US,2021-03-09 15:07:38,34.6391,-120.4579,38.98,35.6,41.0,Clouds,few clouds,93,20,5.08
34,Chokurdakh,RU,2021-03-09 15:07:48,70.6333,147.9167,-12.32,-12.32,-12.32,Clouds,overcast clouds,88,100,15.28
35,Port Hedland,AU,2021-03-09 15:09:57,-20.3167,118.5667,80.6,80.6,80.6,Clear,clear sky,89,0,9.22
36,Kudahuvadhoo,MV,2021-03-09 15:11:25,2.6708,72.8944,83.97,83.97,83.97,Clouds,few clouds,70,23,7.02
37,Salalah,OM,2021-03-09 15:11:25,17.0151,54.0924,82.4,82.4,82.4,Clear,clear sky,61,0,10.36
38,Maldonado,UY,2021-03-09 15:07:55,-34.6667,-54.9167,74.61,73.99,75.2,Clouds,scattered clouds,64,40,11.5
39,Dikson,RU,2021-03-09 15:07:27,73.5069,80.5464,-17.84,-17.84,-17.84,Clouds,overcast clouds,90,89,7.02
40,Margate,GB,2021-03-09 15:07:46,51.3813,1.3862,51.71,48.99,53.01,Clouds,broken clouds,57,57,1.01
41,Rio Tuba,PH,2021-03-09 15:11:25,8.5061,117.4317,80.6,80.6,80.6,Clear,clear sky,77,2,10.16
42,Torbay,CA,2021-03-09 15:05:18,47.6666,-52.7314,28.06,27.0,28.99,Clouds,overcast clouds,77,100,3.0
43,Codrington,AU,2021-03-09 15:08:53,-38.2667,141.9667,54.1,54.1,54.1,Clouds,few clouds,87,13,2.62
44,Jacareacanga,BR,2021-03-09 15:11:26,-6.2222,-57.7528,78.8,78.8,78.8,Clouds,broken clouds,83,75,2.3
45,Mataura,NZ,2021-03-09 15:07:40,-46.1927,168.8643,57.0,57.0,57.0,Rain,moderate rain,77,100,8.01
46,Hermanus,ZA,2021-03-09 15:07:41,-34.4187,19.2345,72.0,72.0,72.0,Clouds,overcast clouds,58,88,10.0
47,General Pico,AR,2021-03-09 15:06:30,-35.6566,-63.7568,83.93,83.93,83.93,Clear,clear sky,26,0,14.61
48,Aleksandrov Gay,RU,2021-03-09 15:11:26,50.147,48.5704,24.66,24.66,24.66,Snow,light snow,97,100,14.03
49,Fairbanks,US,2021-03-09 15:05:28,64.8378,-147.7164,11.21,6.8,14.0,Clear,clear sky,85,1,4.61
50,Clyde River,CA,2021-03-09 15:07:46,70.4692,-68.5914,-2.2,-2.2,-2.2,Snow,light snow,78,90,14.97
51,Ribeira Grande,PT,2021-03-09 15:07:48,38.5167,-28.7,64.4,64.4,64.4,Clouds,broken clouds,82,75,11.5
52,Samarai,PG,2021-03-09 15:11:27,-10.6167,150.6667,81.7,81.7,81.7,Clouds,broken clouds,78,82,8.46
53,Port Alfred,ZA,2021-03-09 15:07:55,-33.5906,26.891,71.01,71.01,71.01,Clouds,overcast clouds,78,92,13.13
54,San Patricio,US,2021-03-09 15:07:56,28.017,-97.5169,71.53,71.01,72.0,Clouds,scattered clouds,73,40,19.57
55,Georgetown,MY,2021-03-09 15:07:54,5.4112,100.3354,81.34,80.01,82.4,Clouds,few clouds,74,20,2.3
56,Avarua,CK,2021-03-09 15:07:35,-21.2078,-159.775,77.0,77.0,77.0,Rain,light rain,94,75,11.5
