City_ID,City,Country,Date,Lat,Lng,Temp,Min Temp,Max Temp,Current Description,Current Details,Humidity,Cloudiness,Wind Speed
0,Qaqortoq,GL,2021-03-11 10:22:19,60.7167,-46.0333,21.2,21.2,21.2,Clouds,broken clouds,58,75,4.61
1,Albany,US,2021-03-11 10:20:39,42.6001,-73.9662,39.31,36.0,42.8,Clouds,overcast clouds,87,90,12.66
2,Vaini,TO,2021-03-11 10:22:19,-21.2,-175.2,77.0,77.0,77.0,Rain,light rain,73,40,5.75
3,Punta Arenas,CL,2021-03-11 10:19:47,-53.15,-70.9167,41.0,41.0,41.0,Rain,light rain,75,40,20.71
4,Bluff,NZ,2021-03-11 10:22:20,-46.6,168.3333,48.99,48.99,48.99,Clear,clear sky,78,0,6.11
5,Leh,IN,2021-03-11 10:22:20,34.1667,77.5833,33.31,33.31,33.31,Clouds,overcast clouds,28,93,5.03
6,Canton,CN,2021-03-11 10:18:44,23.1167,113.25,79.45,77.0,82.0,Clouds,broken clouds,61,75,2.24
7,La Tuque,CA,2021-03-11 10:22:21,47.4334,-72.7824,41.0,41.0,41.0,Clouds,overcast clouds,60,100,5.75
8,Upernavik,GL,2021-03-11 10:22:21,72.7868,-56.1549,6.48,6.48,6.48,Clouds,overcast clouds,85,100,3.18
9,Norman Wells,CA,2021-03-11 10:22:22,65.282,-126.8329,14.0,14.0,14.0,Clouds,broken clouds,67,75,4.61
10,Olafsvik,IS,2021-03-11 10:22:22,64.8945,-23.7142,24.87,24.87,24.87,Snow,light snow,66,93,17.74
11,Jamestown,US,2021-03-11 10:17:36,42.097,-79.2353,52.66,50.0,54.0,Clouds,few clouds,37,20,13.56
12,Port Elizabeth,ZA,2021-03-11 10:22:22,-33.918,25.5701,64.4,64.4,64.4,Rain,light rain,94,90,9.22
13,Kodiak,US,2021-03-11 10:22:23,57.79,-152.4072,23.0,23.0,23.0,Clear,clear sky,46,1,33.38
14,Leirvik,NO,2021-03-11 10:22:23,59.7798,5.5005,42.94,41.0,44.01,Rain,light rain,87,75,18.41
15,Fortuna,US,2021-03-11 10:22:23,40.5982,-124.1573,36.41,35.6,37.99,Clouds,overcast clouds,93,90,9.22
16,Naze,JP,2021-03-11 10:22:24,28.3667,129.4833,66.2,66.2,66.2,Clouds,broken clouds,72,75,17.27
17,Mar Del Plata,AR,2021-03-11 10:22:09,-38.0023,-57.5575,66.74,66.0,68.0,Rain,light rain,94,0,6.91
18,Ushuaia,AR,2021-03-11 10:19:13,-54.8,-68.3,35.6,35.6,35.6,Snow,sleet,87,90,5.75
19,Rikitea,PF,2021-03-11 10:22:24,-23.1203,-134.9692,78.37,78.37,78.37,Clear,clear sky,74,3,17.13
20,Bredasdorp,ZA,2021-03-11 10:22:25,-34.5322,20.0403,73.4,73.4,73.4,Clouds,broken clouds,49,79,11.5
21,Cabo San Lucas,MX,2021-03-11 10:22:25,22.8909,-109.9124,61.5,61.0,62.01,Clouds,broken clouds,72,51,1.99
22,Bantogon,PH,2021-03-11 10:22:26,6.5333,124.0333,76.64,76.64,76.64,Rain,light rain,86,100,4.03
23,Pervomayskoye,RU,2021-03-11 10:22:26,43.919,46.7102,33.69,33.69,33.69,Clouds,overcast clouds,54,100,17.83
24,Walvis Bay,NA,2021-03-11 10:22:26,-22.9575,14.5053,69.8,69.8,69.8,Clear,clear sky,64,0,11.5
25,Arraial Do Cabo,BR,2021-03-11 10:22:27,-22.9661,-42.0278,71.15,68.0,73.4,Clouds,overcast clouds,88,100,2.51
26,Manokwari,ID,2021-03-11 10:22:27,-0.8667,134.0833,80.71,80.71,80.71,Clouds,scattered clouds,80,32,5.03
27,Torbay,CA,2021-03-11 10:22:27,47.6666,-52.7314,28.26,26.01,30.0,Clouds,scattered clouds,86,40,18.41
28,Buritis,BR,2021-03-11 10:22:28,-15.6178,-46.4233,70.36,70.36,70.36,Clouds,overcast clouds,91,94,2.01
29,Hasaki,JP,2021-03-11 10:22:28,35.7333,140.8333,46.4,46.4,46.4,Clouds,few clouds,76,20,4.61
30,Fort Nelson,CA,2021-03-11 10:22:28,58.8053,-122.7002,10.4,10.4,10.4,Clouds,broken clouds,56,75,5.75
31,Saint-Philippe,RE,2021-03-11 10:22:28,-21.3585,55.7679,79.9,70.0,86.0,Clear,clear sky,54,0,23.02
32,Venissieux,FR,2021-03-11 10:22:29,45.7025,4.8715,55.35,53.6,57.0,Clear,clear sky,50,0,17.27
33,Yeppoon,AU,2021-03-11 10:22:29,-23.1333,150.7333,78.8,78.8,78.8,Clouds,overcast clouds,65,85,6.91
34,Barrow,US,2021-03-11 10:22:29,71.2906,-156.7887,-9.4,-9.4,-9.4,Clear,clear sky,70,1,16.11
35,Esperance,AU,2021-03-11 10:22:30,-33.8667,121.9,73.4,73.4,73.4,Rain,light rain,73,100,4.61
36,Alamosa,US,2021-03-11 10:22:30,37.4695,-105.87,15.8,15.8,15.8,Clear,clear sky,73,1,6.91
37,Cascioarele,RO,2021-03-11 10:22:30,44.1261,26.4697,32.0,32.0,32.0,Clear,clear sky,74,0,8.05
38,Hermanus,ZA,2021-03-11 10:22:31,-34.4187,19.2345,73.0,73.0,73.0,Clouds,overcast clouds,58,100,5.99
39,Port Blair,IN,2021-03-11 10:22:31,11.6667,92.75,86.0,86.0,86.0,Haze,haze,70,20,10.36
40,Mataura,NZ,2021-03-11 10:22:31,-46.1927,168.8643,48.99,48.99,48.99,Clear,clear sky,78,1,1.1
41,Poso,ID,2021-03-11 10:19:26,-1.3959,120.7524,79.95,79.95,79.95,Rain,moderate rain,85,99,1.34
42,Fredericksburg,US,2021-03-11 10:22:32,38.3032,-77.4605,52.25,51.01,53.6,Clear,clear sky,47,1,4.61
43,Yellowknife,CA,2021-03-11 10:22:32,62.456,-114.3525,-19.07,-20.2,-18.0,Clouds,scattered clouds,83,40,6.91
44,Vardo,NO,2021-03-11 10:22:33,70.3705,31.1107,10.4,10.4,10.4,Snow,heavy snow,85,20,43.73
45,Hobart,AU,2021-03-11 10:18:10,-42.8794,147.3294,60.6,57.99,62.6,Clouds,overcast clouds,88,91,12.66
46,Nikolskoye,RU,2021-03-11 10:22:33,59.7035,30.7861,16.29,15.8,17.01,Snow,light snow,62,75,13.42
47,Mitsamiouli,KM,2021-03-11 10:22:33,-11.3847,43.2844,87.8,87.8,87.8,Clouds,few clouds,70,20,13.8
48,Butaritari,KI,2021-03-11 10:22:34,3.0707,172.7902,81.21,81.21,81.21,Rain,light rain,78,89,10.98
49,Awjilah,LY,2021-03-11 10:22:34,29.1081,21.2869,73.38,73.38,73.38,Clouds,overcast clouds,31,89,13.71
50,Stephenville Crossing,CA,2021-03-11 10:22:34,48.5,-58.4318,23.0,23.0,23.0,Clouds,scattered clouds,93,40,3.44
51,Los Llanos De Aridane,ES,2021-03-11 10:22:35,28.6585,-17.9182,62.42,60.01,66.2,Clouds,broken clouds,59,75,14.97
52,Souillac,MU,2021-03-11 10:22:35,-20.5167,57.5167,86.0,86.0,86.0,Clouds,scattered clouds,54,40,12.66
53,Severo-Kurilsk,RU,2021-03-11 10:22:35,50.6789,156.125,30.25,30.25,30.25,Snow,light snow,97,99,9.44
54,Cody,US,2021-03-11 10:22:36,44.5263,-109.0565,26.55,26.01,27.0,Snow,light snow,93,90,5.75
55,Talnakh,RU,2021-03-11 10:22:36,69.4865,88.3972,-24.34,-24.34,-24.34,Clouds,overcast clouds,96,90,5.39
56,Cortez,US,2021-03-11 10:22:36,37.3489,-108.5859,23.0,23.0,23.0,Clouds,scattered clouds,63,40,5.75
57,Avarua,CK,2021-03-11 10:18:10,-21.2078,-159.775,77.0,77.0,77.0,Clouds,broken clouds,94,75,2.3
58,Cape Town,ZA,2021-03-11 10:18:16,-33.9258,18.4232,71.85,69.01,73.4,Clouds,few clouds,46,20,5.75
59,Kahului,US,2021-03-11 10:22:37,20.8947,-156.47,67.08,66.0,68.0,Clear,clear sky,88,1,4.61
60,Howard Springs,AU,2021-03-11 10:22:37,-12.497,131.047,81.41,80.01,82.4,Clouds,broken clouds,78,75,4.61
61,Anadyr,RU,2021-03-11 10:22:38,64.75,177.4833,-23.35,-23.8,-23.01,Clear,clear sky,69,0,4.47
62,Puerto Ayora,EC,2021-03-11 10:22:38,-0.7393,-90.3518,73.0,73.0,73.0,Rain,light rain,98,99,1.01
63,San Cristobal,VE,2021-03-11 10:22:38,7.7669,-72.225,65.08,65.08,65.08,Clouds,overcast clouds,93,99,2.17
64,Aklavik,CA,2021-03-11 10:22:39,68.2191,-135.0107,11.26,10.4,12.2,Snow,light snow,92,100,6.91
65,Okhotsk,RU,2021-03-11 10:22:39,59.3833,143.3,2.61,2.61,2.61,Clouds,overcast clouds,93,100,3.58
66,Cidreira,BR,2021-03-11 10:22:40,-30.1811,-50.2056,65.01,65.01,65.01,Clouds,few clouds,90,24,8.75
67,Yar-Sale,RU,2021-03-11 10:22:40,66.8333,70.8333,-20.15,-20.15,-20.15,Clear,clear sky,94,1,10.0
68,Paamiut,GL,2021-03-11 10:22:40,61.994,-49.6678,19.2,19.2,19.2,Snow,light snow,83,100,5.57
69,Lata,PT,2021-03-11 10:22:41,40.1629,-8.3327,57.36,55.0,60.01,Clouds,overcast clouds,60,100,4.0
70,Chokurdakh,RU,2021-03-11 10:22:41,70.6333,147.9167,-17.12,-17.12,-17.12,Clouds,overcast clouds,89,100,6.67
71,Gombong,ID,2021-03-11 10:22:41,-7.6072,109.5142,82.63,82.63,82.63,Rain,heavy intensity rain,81,97,2.82
72,Riyadh,SA,2021-03-11 10:19:17,24.6877,46.7219,84.2,84.2,84.2,Clear,clear sky,10,0,14.97
73,Cherskiy,RU,2021-03-11 10:22:42,68.75,161.3,-10.07,-10.07,-10.07,Clouds,overcast clouds,83,87,9.55
74,Bilma,NE,2021-03-11 10:22:42,18.6853,12.9164,97.03,97.03,97.03,Clouds,broken clouds,4,78,15.43
75,Chipata,ZM,2021-03-11 10:22:42,-13.6333,32.65,79.11,79.11,79.11,Rain,light rain,66,85,3.98
76,Slave Lake,CA,2021-03-11 10:22:43,55.2834,-114.769,-7.6,-7.6,-7.6,Clear,clear sky,84,1,3.44
77,Sebrovo,RU,2021-03-11 10:22:43,50.0981,43.2976,10.99,10.99,10.99,Clear,clear sky,57,0,13.0
78,Fukue,JP,2021-03-11 10:22:44,32.6881,128.8419,59.0,59.0,59.0,Rain,light rain,72,75,3.44
79,Tuktoyaktuk,CA,2021-03-11 10:22:44,69.4541,-133.0374,10.13,10.13,10.13,Snow,light snow,93,100,12.73
80,Sabinas Hidalgo,MX,2021-03-11 10:17:58,26.5,-100.1667,63.1,63.1,63.1,Clouds,few clouds,87,20,2.89
81,Seoul,KR,2021-03-11 10:20:00,37.5683,126.9778,54.1,50.0,57.2,Clouds,overcast clouds,40,100,4.61
82,Canico,PT,2021-03-11 10:22:45,32.6333,-16.85,57.22,51.01,61.0,Clouds,scattered clouds,67,40,11.5
83,Atuona,PF,2021-03-11 10:18:55,-9.8,-139.0333,78.96,78.96,78.96,Clouds,overcast clouds,71,94,12.82
84,Geraldton,AU,2021-03-11 10:22:45,-28.7667,114.6,78.8,78.8,78.8,Clouds,overcast clouds,69,100,16.11
